UID,Order No.,Time(UTC+8),Pair,Type,Price,Amount,Order Value,Fee,Fee Coin,Order Type
25657330,1.93468E+18,17/06/2025 06:44,BTC-USDT,Sell,107500,0.000031,3.3325,-0.00333,USDT,Autonomous Orders
25657330,1.92968E+18,06/06/2025 02:17,BTC-USDT,Buy,102608,0.000031,3.180848,0,BTC,Autonomous Orders
25657330,1.91073E+18,12/04/2025 00:11,BTC-USDT,Sell,82363.97,0.000039,3.21219483,-0.00321,USDT,Autonomous Orders
25657330,1.90782E+18,03/04/2025 23:22,BTC-USDT,Buy,81663.22,0.000039,3.18486558,0,BTC,Autonomous Orders
25657330,1.90644E+18,31/03/2025 08:41,BTC-USDT,Sell,81412,0.00004,3.25648,-0.00326,USDT,Autonomous Orders
25657330,1.90608E+18,30/03/2025 04:26,BTC-USDT,Buy,82641.42,0.00004,3.3056568,0,BTC,Autonomous Orders
25657330,1.90407E+18,24/03/2025 15:30,BTC-USDT,Sell,86941.86,0.000038,3.30379068,-0.0033,USDT,Autonomous Orders
25657330,1.89675E+18,04/03/2025 10:32,BTC-USDT,Buy,83259.44,0.000039,3.24711816,0,BTC,Autonomous Orders
25657330,1.84376E+18,09/10/2024 04:51,BTC-USDT,Buy,62353.48,0.000048,2.999202,0,BTC,Autonomous Orders
25657330,1.84376E+18,09/10/2024 04:54,BTC-USDT,Sell,62340.37,0.000048,2.992338,-0.00299,USDT,Autonomous Orders
25657330,1.85399E+18,06/11/2024 10:33,SOL-USDT,Sell,178.15,0.057,10.15455,-0.01015,USDT,Autonomous Orders
