symbol,underlying,asset,displayName,marginAsset,quoteAsset,contractType,status,pricePrecision,underlying_limpio,asset_limpio
BTC-USDT,,BTC,BTC-USDT,,,,1,1,,BTC
ETH-USDT,,ETH,ETH-USDT,,,,1,2,,ETH
LINK-USDT,,LINK,LINK-USDT,,,,1,3,,LINK
BCH-USDT,,BCH,BCH-USDT,,,,1,2,,BCH
ADA-USDT,,ADA,ADA-USDT,,,,1,5,,ADA
XRP-USDT,,XRP,XRP-USDT,,,,1,4,,XRP
LTC-USDT,,LTC,LTC-USDT,,,,1,2,,LTC
DOT-USDT,,DOT,DOT-USDT,,,,1,3,,DOT
AVAX-USDT,,AVAX,AVAX-USDT,,,,1,3,,AVAX
THETA-USDT,,THETA,THETA-USDT,,,,1,4,,THETA
ALGO-USDT,,ALGO,ALGO-USDT,,,,1,4,,ALGO
AXS-USDT,,AXS,AXS-USDT,,,,1,3,,AXS
DYDX-USDT,,DYDX,DYDX-USDT,,,,1,4,,DYDX
SHIB-USDT,,SHIB,SHIB-USDT,,,,1,9,,SHIB
ICP-USDT,,ICP,ICP-USDT,,,,1,3,,ICP
SAND-USDT,,SAND,SAND-USDT,,,,1,5,,SAND
KSM-USDT,,KSM,KSM-USDT,,,,1,3,,KSM
VET-USDT,,VET,VET-USDT,,,,1,6,,VET
SUSHI-USDT,,SUSHI,SUSHI-USDT,,,,1,4,,SUSHI
SOL-USDT,,SOL,SOL-USDT,,,,1,3,,SOL
NEAR-USDT,,NEAR,NEAR-USDT,,,,1,4,,NEAR
ATOM-USDT,,ATOM,ATOM-USDT,,,,1,3,,ATOM
BSV-USDT,,BSV,BSV-USDT,,,,1,2,,BSV
UNI-USDT,,UNI,UNI-USDT,,,,1,3,,UNI
FIL-USDT,,FIL,FIL-USDT,,,,1,3,,FIL
AAVE-USDT,,AAVE,AAVE-USDT,,,,1,2,,AAVE
DOGE-USDT,,DOGE,DOGE-USDT,,,,1,5,,DOGE
ENJ-USDT,,ENJ,ENJ-USDT,,,,1,5,,ENJ
MANA-USDT,,MANA,MANA-USDT,,,,1,4,,MANA
CHZ-USDT,,CHZ,CHZ-USDT,,,,1,5,,CHZ
TRX-USDT,,TRX,TRX-USDT,,,,1,5,,TRX
SKL-USDT,,SKL,SKL-USDT,,,,1,5,,SKL
ZRX-USDT,,ZRX,ZRX-USDT,,,,1,4,,ZRX
SNX-USDT,,SNX,SNX-USDT,,,,1,3,,SNX
CRV-USDT,,CRV,CRV-USDT,,,,1,4,,CRV
LRC-USDT,,LRC,LRC-USDT,,,,1,5,,LRC
YFI-USDT,,YFI,YFI-USDT,,,,1,0,,YFI
1INCH-USDT,,1INCH,1INCH-USDT,,,,1,4,,1INCH
COMP-USDT,,COMP,COMP-USDT,,,,1,2,,COMP
GRT-USDT,,GRT,GRT-USDT,,,,1,5,,GRT
MASK-USDT,,MASK,MASK-USDT,,,,1,4,,MASK
AR-USDT,,AR,AR-USDT,,,,1,3,,AR
ENS-USDT,,ENS,ENS-USDT,,,,1,3,,ENS
BAT-USDT,,BAT,BAT-USDT,,,,1,4,,BAT
STORJ-USDT,,STORJ,STORJ-USDT,,,,1,4,,STORJ
IMX-USDT,,IMX,IMX-USDT,,,,1,4,,IMX
XLM-USDT,,XLM,XLM-USDT,,,,1,5,,XLM
ZEC-USDT,,ZEC,ZEC-USDT,,,,1,2,,ZEC
DASH-USDT,,DASH,DASH-USDT,,,,1,2,,DASH
XMR-USDT,,XMR,XMR-USDT,,,,1,2,,XMR
WAVES-USDT,,WAVES,WAVES-USDT,,,,1,4,,WAVES
ONT-USDT,,ONT,ONT-USDT,,,,1,4,,ONT
ONE-USDT,,ONE,ONE-USDT,,,,1,6,,ONE
EGLD-USDT,,EGLD,EGLD-USDT,,,,1,3,,EGLD
HBAR-USDT,,HBAR,HBAR-USDT,,,,1,5,,HBAR
CELO-USDT,,CELO,CELO-USDT,,,,1,4,,CELO
KAVA-USDT,,KAVA,KAVA-USDT,,,,1,4,,KAVA
BNB-USDT,,BNB,BNB-USDT,,,,1,2,,BNB
GALA-USDT,,GALA,GALA-USDT,,,,1,5,,GALA
YGG-USDT,,YGG,YGG-USDT,,,,1,5,,YGG
ALICE-USDT,,ALICE,ALICE-USDT,,,,1,4,,ALICE
CHR-USDT,,CHR,CHR-USDT,,,,1,4,,CHR
APE-USDT,,APE,APE-USDT,,,,1,4,,APE
RSR-USDT,,RSR,RSR-USDT,,,,1,6,,RSR
KNC-USDT,,KNC,KNC-USDT,,,,1,4,,KNC
ZIL-USDT,,ZIL,ZIL-USDT,,,,1,5,,ZIL
FLOW-USDT,,FLOW,FLOW-USDT,,,,1,4,,FLOW
GMT-USDT,,GMT,GMT-USDT,,,,1,5,,GMT
RUNE-USDT,,RUNE,RUNE-USDT,,,,1,4,,RUNE
RVN-USDT,,RVN,RVN-USDT,,,,1,5,,RVN
NEO-USDT,,NEO,NEO-USDT,,,,1,3,,NEO
IOST-USDT,,IOST,IOST-USDT,,,,1,6,,IOST
ETC-USDT,,ETC,ETC-USDT,,,,1,3,,ETC
ROSE-USDT,,ROSE,ROSE-USDT,,,,1,5,,ROSE
MINA-USDT,,MINA,MINA-USDT,,,,1,4,,MINA
