symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker,Market
BCHUSDT,851034070,29454519669,SELL,330.16,0.306,0,101.02896,0.02020579,USDT,07-10-2024 02:19:41,SHORT,False,True,FUM
BCHUSDT,851052775,29466784161,BUY,329.16,0.306,0.30600000,100.72296,0.05036148,USDT,07-10-2024 04:13:49,SHORT,True,False,FUM
BCHUSDT,851437082,29472903521,SELL,329.84,0.151,0,49.80584,0.00996116,USDT,08-10-2024 13:33:24,SHORT,False,True,FUM
BCHUSDT,851461867,29477746815,BUY,326.46,0.151,0.51038000,49.29546,0.02464773,USDT,08-10-2024 14:33:27,SHORT,True,False,FUM
BCHUSDT,852084905,29500431482,SELL,324.04,0.531,0,172.06524,0.08603262,USDT,11-10-2024 03:06:37,SHORT,False,False,FUM
BCHUSDT,852123129,29500431486,BUY,324.92,0.225,-0.19800000,73.10700,0.03655350,USDT,11-10-2024 10:05:27,SHORT,True,False,FUM
BCHUSDT,852123130,29500431486,BUY,324.93,0.093,-0.08277000,30.21849,0.01510924,USDT,11-10-2024 10:05:27,SHORT,True,False,FUM
BCHUSDT,852123131,29500431486,BUY,324.94,0.213,-0.19170000,69.21222,0.03460611,USDT,11-10-2024 10:05:27,SHORT,True,False,FUM
BCHUSDT,852161846,29503500418,SELL,324.16,0.490,0,158.83840,0.07941920,USDT,11-10-2024 13:53:19,SHORT,False,False,FUM
BCHUSDT,852162899,29503500420,BUY,324.88,0.065,-0.04680000,21.11720,0.01055860,USDT,11-10-2024 13:55:43,SHORT,True,False,FUM
BCHUSDT,852162900,29503500420,BUY,324.88,0.425,-0.30600000,138.07400,0.06903700,USDT,11-10-2024 13:55:43,SHORT,True,False,FUM
BCHUSDT,852170063,29503812241,SELL,324.37,0.367,0,119.04379,0.05952189,USDT,11-10-2024 14:32:19,SHORT,False,False,FUM
BCHUSDT,852172179,29503812254,BUY,325.37,0.367,-0.36700000,119.41079,0.05970539,USDT,11-10-2024 14:42:07,SHORT,True,False,FUM
BCHUSDT,852175453,29503987464,SELL,325.21,0.065,0,21.13865,0.01056932,USDT,11-10-2024 14:58:00,SHORT,False,False,FUM
BCHUSDT,852175454,29503987464,SELL,325.21,0.065,0,21.13865,0.01056932,USDT,11-10-2024 14:58:00,SHORT,False,False,FUM
BCHUSDT,852175455,29503987464,SELL,325.21,0.093,0,30.24453,0.01512226,USDT,11-10-2024 14:58:00,SHORT,False,False,FUM
BCHUSDT,852175456,29503987464,SELL,325.21,0.065,0,21.13865,0.01056932,USDT,11-10-2024 14:58:00,SHORT,False,False,FUM
BCHUSDT,852175457,29503987464,SELL,325.20,0.079,0,25.69080,0.01284540,USDT,11-10-2024 14:58:00,SHORT,False,False,FUM
BCHUSDT,852176582,29503987482,BUY,325.58,0.367,-0.13658000,119.48786,0.05974393,USDT,11-10-2024 15:04:10,SHORT,True,False,FUM
BCHUSDT,852176849,29504032162,SELL,325.77,0.347,0,113.04219,0.05652109,USDT,11-10-2024 15:05:08,SHORT,False,False,FUM
BCHUSDT,852180138,29504032167,BUY,326.65,0.347,-0.30536000,113.34755,0.05667377,USDT,11-10-2024 15:15:06,SHORT,True,False,FUM
BCHUSDT,852187145,29504331539,SELL,325.05,0.246,0,79.96230,0.03998115,USDT,11-10-2024 15:46:14,SHORT,False,False,FUM
BCHUSDT,852190065,29504331552,BUY,326.75,0.155,-0.26350000,50.64625,0.02532312,USDT,11-10-2024 16:00:22,SHORT,True,False,FUM
BCHUSDT,852190066,29504331552,BUY,326.75,0.091,-0.15470000,29.73425,0.01486712,USDT,11-10-2024 16:00:22,SHORT,True,False,FUM
BCHUSDT,852192666,29504496846,SELL,326.12,0.101,0,32.93812,0.01646906,USDT,11-10-2024 16:08:55,SHORT,False,False,FUM
BCHUSDT,852192667,29504496846,SELL,326.12,0.065,0,21.19780,0.01059890,USDT,11-10-2024 16:08:55,SHORT,False,False,FUM
BCHUSDT,852192668,29504496846,SELL,326.12,0.080,0,26.08960,0.01304480,USDT,11-10-2024 16:08:55,SHORT,False,False,FUM
BCHUSDT,852214467,29504496852,BUY,326.76,0.246,-0.15744000,80.38296,0.04019148,USDT,11-10-2024 17:37:22,SHORT,True,False,FUM
BCHUSDT,852221295,29505270002,SELL,326.32,0.781,0,254.85592,0.12742796,USDT,11-10-2024 17:57:52,SHORT,False,False,FUM
BCHUSDT,852221983,29505297151,BUY,326.63,0.781,-0.24211000,255.09803,0.12754901,USDT,11-10-2024 18:02:21,SHORT,True,False,FUM
BCHUSDT,852221984,29505297184,BUY,326.63,0.258,0,84.27054,0.04213527,USDT,11-10-2024 18:02:21,LONG,True,False,FUM
BCHUSDT,852221985,29505297184,BUY,326.63,0.523,0,170.82749,0.08541374,USDT,11-10-2024 18:02:21,LONG,True,False,FUM
BCHUSDT,852232614,29505665063,SELL,328.29,0.195,0.32370000,64.01655,0.03200827,USDT,11-10-2024 19:09:07,LONG,False,False,FUM
BCHUSDT,852236854,29505764141,SELL,327.28,0.295,0.19175000,96.54760,0.04827380,USDT,11-10-2024 19:23:58,LONG,False,False,FUM
BCHUSDT,852236855,29505764141,SELL,327.28,0.225,0.14625000,73.63800,0.03681899,USDT,11-10-2024 19:23:58,LONG,False,False,FUM
BCHUSDT,852236856,29505764141,SELL,327.28,0.066,0.04290000,21.60048,0.01080024,USDT,11-10-2024 19:23:58,LONG,False,False,FUM
BCHUSDT,852238529,29505833731,BUY,327.86,0.146,0,47.86756,0.02393378,USDT,11-10-2024 19:30:39,LONG,True,False,FUM
BCHUSDT,852238530,29505833731,BUY,327.86,0.075,0,24.58950,0.01229475,USDT,11-10-2024 19:30:39,LONG,True,False,FUM
BCHUSDT,852238531,29505833731,BUY,327.86,0.169,0,55.40834,0.02770417,USDT,11-10-2024 19:30:39,LONG,True,False,FUM
BCHUSDT,852254003,29506503089,SELL,327.97,0.323,0.03553000,105.93431,0.05296715,USDT,11-10-2024 22:00:04,LONG,False,False,FUM
