symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,maker,buyer,Market
BNBUSDT,1325499098,56761844554,SELL,561.83,0.05,0,28.0915,0.00002249,BNB,24-06-2024 13:22:00,BOTH,False,False,FUM
BNBUSDT,1325514594,56762198832,BUY,567.31,0.05,-0.274,28.3655,0.0000225,BNB,24-06-2024 13:35:00,BOTH,False,True,FUM
BNBUSDT,1341197234,57472542571,SELL,539,0.84,0,452.76,0.090552,USDT,14-07-2024 08:19:03,SHORT,False,True,FUM
BNBUSDT,1341339993,57478419099,BUY,535.17,0.38,1.4554,203.3646,0.1016823,USDT,14-07-2024 14:58:44,SHORT,True,False,FUM
BNBUSDT,1341339994,57478419099,BUY,535.17,0.46,1.7618,246.1782,0.1230891,USDT,14-07-2024 14:58:44,SHORT,True,False,FUM
BNBUSDT,1341339995,57478419140,BUY,535.17,0.45,0,240.8265,0.12041325,USDT,14-07-2024 14:58:44,LONG,True,False,FUM
BNBUSDT,1341339996,57478419140,BUY,535.17,0.39,0,208.7163,0.10435815,USDT,14-07-2024 14:58:44,LONG,True,False,FUM
BNBUSDT,1341346840,57478641067,SELL,534.32,0.71,-0.60349999,379.3672,0.1896836,USDT,14-07-2024 15:11:20,LONG,False,False,FUM
BNBUSDT,1341346841,57478641067,SELL,534.32,0.04,-0.034,21.3728,0.00001799,BNB,14-07-2024 15:11:20,LONG,False,False,FUM
BNBUSDT,1341346842,57478641067,SELL,534.32,0.09,-0.07649999,48.0888,0.0240444,USDT,14-07-2024 15:11:20,LONG,False,False,FUM
BNBUSDT,1341406414,57481041639,SELL,536.2,0.15,0,80.43,0.00006748,BNB,14-07-2024 19:44:40,SHORT,False,False,FUM
BNBUSDT,1341406854,57481040498,SELL,536.4,0.04,0,21.456,0.00000719,BNB,14-07-2024 19:47:00,SHORT,True,False,FUM
BNBUSDT,1341406855,57481040498,SELL,536.4,0.04,0,21.456,0.00000719,BNB,14-07-2024 19:47:00,SHORT,True,False,FUM
BNBUSDT,1341406856,57481040498,SELL,536.4,0.04,0,21.456,0.00000719,BNB,14-07-2024 19:47:00,SHORT,True,False,FUM
BNBUSDT,1341406857,57481040498,SELL,536.4,0.01,0,5.364,0.00000179,BNB,14-07-2024 19:47:00,SHORT,True,False,FUM
BNBUSDT,1341412791,57481113999,BUY,537.85,0.28,-0.43599999,150.598,0.00012601,BNB,14-07-2024 20:20:42,SHORT,False,True,FUM
BNBUSDT,1341421453,57481491951,SELL,538.41,0.24,0,129.2184,0.00010799,BNB,14-07-2024 20:46:55,SHORT,False,False,FUM
BNBUSDT,1341421454,57481491951,SELL,538.41,0.07,0,37.6887,0.00003149,BNB,14-07-2024 20:46:55,SHORT,False,False,FUM
BNBUSDT,1341435476,57481597560,BUY,541.67,0.31,-1.0106,167.9177,0.00013949,BNB,14-07-2024 21:23:50,SHORT,False,True,FUM
BNBUSDT,1341480890,57483078960,SELL,544.2,0.01,0,5.442,0.00000449,BNB,14-07-2024 22:18:53,SHORT,False,False,FUM
BNBUSDT,1341480891,57483078960,SELL,544.2,0.54,0,293.868,0.00024297,BNB,14-07-2024 22:18:53,SHORT,False,False,FUM
BNBUSDT,1341507935,57484117522,BUY,547.02,0.55,-1.551,300.861,0.00024741,BNB,14-07-2024 23:23:57,SHORT,False,True,FUM
BNBUSDT,1342120338,57500897903,BUY,572.67,0.06,0,34.3602,0.00002698,BNB,15-07-2024 15:00:09,LONG,False,True,FUM
BNBUSDT,1342120339,57500897903,BUY,572.67,0.01,0,5.7267,0.00000449,BNB,15-07-2024 15:00:09,LONG,False,True,FUM
BNBUSDT,1342120340,57500897903,BUY,572.67,0.26,0,148.8942,0.00011693,BNB,15-07-2024 15:00:09,LONG,False,True,FUM
BNBUSDT,1342220370,57503595854,SELL,575.6,0.33,0.9669,189.948,0.094974,USDT,15-07-2024 17:00:30,LONG,False,False,FUM
BNBUSDT,1343485544,57544048188,SELL,582.6,0.02,0,11.652,0.00000899,BNB,17-07-2024 01:23:37,SHORT,False,False,FUM
BNBUSDT,1343485545,57544048188,SELL,582.6,0.72,0,419.472,0.209736,USDT,17-07-2024 01:23:37,SHORT,False,False,FUM
BNBUSDT,1343572164,57547214876,BUY,581.73,0.03,0.0261,17.4519,0.0000135,BNB,17-07-2024 05:13:37,SHORT,False,True,FUM
BNBUSDT,1343572165,57547214876,BUY,581.73,0.01,0.0087,5.8173,0.0000045,BNB,17-07-2024 05:13:37,SHORT,False,True,FUM
BNBUSDT,1343572166,57547214876,BUY,581.73,0.03,0.0261,17.4519,0.0000135,BNB,17-07-2024 05:13:37,SHORT,False,True,FUM
BNBUSDT,1343572167,57547214876,BUY,581.73,0.01,0.0087,5.8173,0.0000045,BNB,17-07-2024 05:13:37,SHORT,False,True,FUM
BNBUSDT,1343572168,57547214876,BUY,581.73,0.02,0.0174,11.6346,0.000009,BNB,17-07-2024 05:13:37,SHORT,False,True,FUM
