symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker,Market
DOGEUSDT,2455269142,67050040072,BUY,0.242250,94,0,22.771500,0.01138575,USDT,09-02-2025 21:57:49,LONG,True,False,FUM
DOGEUSDT,2455307256,67050040086,SELL,0.239830,94,-0.22748000,22.544020,0.01127201,USDT,09-02-2025 22:05:59,LONG,False,False,FUM
DOGEUSDT,2455312546,67051135139,BUY,0.240610,94,0,22.617340,0.00452346,USDT,09-02-2025 22:07:05,LONG,True,True,FUM
DOGEUSDT,2455371181,67052794143,SELL,0.243240,94,0.24722000,22.864560,0.01143228,USDT,09-02-2025 22:31:09,LONG,False,False,FUM
DOGEUSDT,2465083802,67370162889,SELL,0.274350,107,0,29.355450,0.00587109,USDT,14-02-2025 10:07:25,SHORT,True,False,FUM
DOGEUSDT,2465441087,67407991050,BUY,0.267450,107,0.73830000,28.617150,0.01430857,USDT,14-02-2025 12:45:58,SHORT,False,True,FUM
DOGEUSDT,2472882122,67370160248,BUY,0.252200,117,0,29.507400,0.00590148,USDT,18-02-2025 05:56:28,LONG,True,True,FUM
DOGEUSDT,2472928901,67707344801,SELL,0.249490,39,-0.10569000,9.730110,0.00486505,USDT,18-02-2025 06:07:46,LONG,False,False,FUM
DOGEUSDT,2472928902,67707344801,SELL,0.249490,78,-0.21138000,19.460220,0.00973011,USDT,18-02-2025 06:07:46,LONG,False,False,FUM
DOGEUSDT,2474087204,67747757849,BUY,0.243590,133,0,32.397470,0.00647949,USDT,18-02-2025 16:36:52,LONG,True,True,FUM
DOGEUSDT,2474586881,67771607266,SELL,0.247850,133,0.56658000,32.964050,0.01648202,USDT,18-02-2025 21:17:41,LONG,False,False,FUM
DOGEUSDT,2477927635,67749076162,SELL,0.257660,116,0,29.888560,0.00597771,USDT,21-02-2025 09:18:27,SHORT,False,True,FUM
DOGEUSDT,2478277772,67915333028,BUY,0.260330,116,-0.30972000,30.198280,0.01509914,USDT,21-02-2025 13:37:27,SHORT,True,False,FUM
DOGEUSDT,2483597071,67787892759,BUY,0.225660,133,0,30.012780,0.00600255,USDT,24-02-2025 14:50:32,LONG,True,True,FUM
DOGEUSDT,2483660083,68102559242,SELL,0.223060,133,-0.34580000,29.666980,0.01483349,USDT,24-02-2025 15:01:48,LONG,False,False,FUM
DOGEUSDT,2491376317,68286427596,BUY,0.203650,149,0,30.343850,0.00606877,USDT,26-02-2025 14:01:50,LONG,True,True,FUM
DOGEUSDT,2491598527,68308885053,SELL,0.208750,149,0.75990000,31.103750,0.01555187,USDT,26-02-2025 15:00:44,LONG,False,False,FUM
DOGEUSDT,2502556610,68286441092,SELL,0.232840,114,0,26.543760,0.00530875,USDT,02-03-2025 16:39:24,SHORT,False,True,FUM
DOGEUSDT,2502787091,68647351831,BUY,0.229100,85,0.31790000,19.473500,0.00973675,USDT,02-03-2025 16:57:38,SHORT,True,False,FUM
DOGEUSDT,2502824637,68644786644,BUY,0.226450,29,0.18531000,6.567050,0.00328352,USDT,02-03-2025 17:02:33,SHORT,True,False,FUM
DOGEUSDT,2506935354,68679661479,BUY,0.201950,172,0,34.735400,0.00694708,USDT,03-03-2025 19:17:23,LONG,True,True,FUM
