symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker,Market
DOTUSDT,851306791,24030184837,BUY,5.950,20.9,0,124.3550,0.06217750,USDT,23-07-2024 13:55:27,LONG,True,False,FUM
DOTUSDT,851318354,24030572832,SELL,6.022,5.2,0.37440000,31.3144,0.01565720,USDT,23-07-2024 14:28:10,LONG,False,False,FUM
DOTUSDT,851323640,24030736360,SELL,6.048,3.9,0.38220000,23.5872,0.01179360,USDT,23-07-2024 14:41:41,LONG,False,False,FUM
DOTUSDT,851326268,24030807699,SELL,6.006,1,0.05600000,6.0060,0.00300300,USDT,23-07-2024 14:47:58,LONG,False,False,FUM
DOTUSDT,851326269,24030807699,SELL,6.006,10.8,0.60480000,64.8648,0.03243240,USDT,23-07-2024 14:47:58,LONG,False,False,FUM
DOTUSDT,851326271,24030807802,SELL,6.006,11.8,0,70.8708,0.03543540,USDT,23-07-2024 14:47:58,SHORT,False,False,FUM
DOTUSDT,851343606,24031334706,BUY,5.957,10.5,0.51450000,62.5485,0.03127425,USDT,23-07-2024 15:36:43,SHORT,True,False,FUM
DOTUSDT,851343607,24031334706,BUY,5.957,1.3,0.06370000,7.7441,0.00387205,USDT,23-07-2024 15:36:43,SHORT,True,False,FUM
DOTUSDT,873693402,24717106125,SELL,4.233,11.9,0,50.3727,0.01007454,USDT,07-10-2024 01:03:34,SHORT,False,True,FUM
DOTUSDT,873740041,24718904882,BUY,4.231,11.9,0.02379999,50.3489,0.02517445,USDT,07-10-2024 05:36:32,SHORT,True,False,FUM
DOTUSDT,874430056,24717109560,BUY,3.954,12.5,0,49.4250,0.00988500,USDT,09-10-2024 21:00:03,LONG,True,True,FUM
DOTUSDT,874438332,24737605525,SELL,3.993,12.5,0.48750000,49.9125,0.02495625,USDT,09-10-2024 21:15:27,LONG,False,False,FUM
DOTUSDT,874729901,24745547449,SELL,4.094,3.5,0,14.3290,0.00716450,USDT,11-10-2024 02:07:40,SHORT,False,False,FUM
DOTUSDT,874729902,24745547449,SELL,4.094,8.1,0,33.1614,0.01658070,USDT,11-10-2024 02:07:40,SHORT,False,False,FUM
DOTUSDT,874734165,24745664279,SELL,4.094,11.6,0,47.4904,0.02374520,USDT,11-10-2024 02:48:29,SHORT,False,False,FUM
DOTUSDT,874790102,24745547454,BUY,4.136,10.2,-0.42840000,42.1872,0.02109360,USDT,11-10-2024 12:13:44,SHORT,True,False,FUM
DOTUSDT,874790103,24745547454,BUY,4.136,1.4,-0.05880000,5.7904,0.00289520,USDT,11-10-2024 12:13:44,SHORT,True,False,FUM
DOTUSDT,874790104,24745664282,BUY,4.136,11.4,-0.47880000,47.1504,0.02357520,USDT,11-10-2024 12:13:44,SHORT,True,False,FUM
DOTUSDT,874790105,24745664282,BUY,4.136,0.2,-0.00840000,0.8272,0.00041360,USDT,11-10-2024 12:13:44,SHORT,True,False,FUM
DOTUSDT,874806823,24747834527,SELL,4.147,11.6,0,48.1052,0.02405260,USDT,11-10-2024 13:52:40,SHORT,False,False,FUM
DOTUSDT,874830663,24747834532,BUY,4.169,11.6,-0.25520000,48.3604,0.02418020,USDT,11-10-2024 15:55:54,SHORT,True,False,FUM
DOTUSDT,874833936,24748560887,SELL,4.165,22.7,0,94.5455,0.04727275,USDT,11-10-2024 16:08:07,SHORT,False,False,FUM
DOTUSDT,874849678,24748560890,BUY,4.187,22.7,-0.49940000,95.0449,0.04752245,USDT,11-10-2024 17:36:23,SHORT,True,False,FUM
DOTUSDT,874866502,24749412034,BUY,4.178,31.2,0,130.3536,0.06517679,USDT,11-10-2024 19:28:54,LONG,True,False,FUM
DOTUSDT,874879007,24749859766,SELL,4.179,31.2,0.03120000,130.3848,0.06519240,USDT,11-10-2024 22:00:08,LONG,False,False,FUM
DOTUSDT,874879012,24749859791,SELL,4.179,31.2,0,130.3848,0.06519240,USDT,11-10-2024 22:00:09,SHORT,False,False,FUM
DOTUSDT,874879018,24749860064,BUY,4.180,31.2,-0.03119999,130.4160,0.06520800,USDT,11-10-2024 22:00:13,SHORT,True,False,FUM
DOTUSDT,874879019,24749860080,BUY,4.180,31.2,0,130.4160,0.06520800,USDT,11-10-2024 22:00:13,LONG,True,False,FUM
DOTUSDT,874881033,24749919361,SELL,4.182,31.2,0.06240000,130.4784,0.06523920,USDT,11-10-2024 22:12:45,LONG,False,False,FUM
