symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,maker,buyer,Market
ETHUSDT,4203395989,8389765701578544376,SELL,3185.17,0.041,0,130.59197,0.00010954,BNB,14-07-2024 19:44:25,SHORT,False,False,FUM
ETHUSDT,4203396929,8389765701578495197,SELL,3185.96,0.023,0,73.27708,0.00002459,BNB,14-07-2024 19:46:33,SHORT,True,False,FUM
ETHUSDT,4203424486,8389765701581104847,BUY,3199.99,0.064,-0.93031000,204.79936,0.00017121,BNB,14-07-2024 20:39:16,SHORT,False,True,FUM
ETHUSDT,4203439886,8389765701591349925,SELL,3199.75,0.072,0,230.38200,0.00019253,BNB,14-07-2024 20:46:47,SHORT,False,False,FUM
ETHUSDT,4203495601,8389765701593910318,BUY,3224,0.072,-1.74600000,232.12800,0.00019313,BNB,14-07-2024 21:23:44,SHORT,False,True,FUM
ETHUSDT,4203703143,8389765701619928591,SELL,3245.91,0.080,0,259.67280,0.00021472,BNB,14-07-2024 22:18:27,SHORT,False,False,FUM
ETHUSDT,4203703144,8389765701619928591,SELL,3245.91,0.066,0,214.23006,0.00017714,BNB,14-07-2024 22:18:27,SHORT,False,False,FUM
ETHUSDT,4203820286,8389765701639529676,BUY,3263.69,0.146,-2.59588000,476.49874,0.00039184,BNB,14-07-2024 23:23:57,SHORT,True,False,FUM
ETHUSDT,4206056928,8389765701917552631,BUY,3370.23,0.087,0,293.21001,0.00023026,BNB,15-07-2024 15:00:01,LONG,True,False,FUM
ETHUSDT,4206505049,8389765701961164790,SELL,3380.01,0.087,0.85086000,294.06087,0.00022965,BNB,15-07-2024 17:00:30,LONG,False,False,FUM
ETHUSDT,4212186279,8389765702539986879,SELL,3504,0.269,0,942.57600,0.18851520,USDT,17-07-2024 01:23:07,SHORT,True,False,FUM
ETHUSDT,4212598417,8389765702567324883,BUY,3493.59,0.269,2.80029000,939.77571,0.46988785,USDT,17-07-2024 04:59:10,SHORT,False,True,FUM
ETHUSDT,4215404988,8389765702954543530,SELL,3430.86,0.128,0,439.15008,0.21957504,USDT,18-07-2024 02:08:06,SHORT,False,False,FUM
ETHUSDT,4215557678,8389765702961515266,BUY,3429.18,0.128,0.21503999,438.93504,0.21946752,USDT,18-07-2024 03:17:36,SHORT,False,True,FUM
ETHUSDT,4215562685,8389765702979716901,SELL,3427.07,0.184,0,630.58088,0.31529044,USDT,18-07-2024 03:19:45,SHORT,False,False,FUM
ETHUSDT,4215562686,8389765702979716901,SELL,3427.07,0.028,0,95.95796,0.04797898,USDT,18-07-2024 03:19:45,SHORT,False,False,FUM
ETHUSDT,4215562687,8389765702979716901,SELL,3427.07,0.009,0,30.84363,0.00002416,BNB,18-07-2024 03:19:45,SHORT,False,False,FUM
ETHUSDT,4215562688,8389765702979716901,SELL,3427.06,0.018,0,61.68708,0.03084354,USDT,18-07-2024 03:19:45,SHORT,False,False,FUM
ETHUSDT,4215614229,8389765702990316813,BUY,3429.36,0.211,-0.48334891,723.59496,0.36179748,USDT,18-07-2024 03:58:53,SHORT,False,True,FUM
ETHUSDT,4215614230,8389765702990316813,BUY,3429.36,0.028,-0.06414108,96.02208,0.04801104,USDT,18-07-2024 03:58:53,SHORT,False,True,FUM
ETHUSDT,4220158891,8389765703539842901,SELL,3484.80,0.117,0,407.72160,0.00030709,BNB,19-07-2024 16:32:30,SHORT,False,False,FUM
ETHUSDT,4220158892,8389765703539842901,SELL,3484.80,0.038,0,132.42240,0.00009974,BNB,19-07-2024 16:32:30,SHORT,False,False,FUM
ETHUSDT,4220235317,8389765703548375994,SELL,3489.43,0.066,0,230.30238,0.00017410,BNB,19-07-2024 17:01:16,SHORT,False,False,FUM
ETHUSDT,4220320518,8389765703555660157,BUY,3507.51,0.221,-4.71333000,775.15971,0.00058824,BNB,19-07-2024 17:27:10,SHORT,True,False,FUM
ETHUSDT,4220320521,8389765703555660718,BUY,3507.51,0.221,0,775.15971,0.00058824,BNB,19-07-2024 17:27:10,LONG,True,False,FUM
ETHUSDT,4220427241,8389765703566900343,SELL,3499.99,0.098,-0.73696000,342.99902,0.00026135,BNB,19-07-2024 18:10:15,LONG,False,False,FUM
ETHUSDT,4220427242,8389765703566900343,SELL,3499.99,0.123,-0.92496000,430.49877,0.00032802,BNB,19-07-2024 18:10:15,LONG,False,False,FUM
ETHUSDT,4220427248,8389765703566902701,SELL,3499.99,0.221,0,773.49779,0.00058937,BNB,19-07-2024 18:10:15,SHORT,False,False,FUM
ETHUSDT,4220502802,8389765703578950694,BUY,3506,0.221,-1.32821000,774.82600,0.00058915,BNB,19-07-2024 19:01:06,SHORT,True,False,FUM
ETHUSDT,4220502826,8389765703578952361,BUY,3505.83,0.221,0,774.78843,0.00058912,BNB,19-07-2024 19:01:06,LONG,True,False,FUM
ETHUSDT,4220668227,8389765703590383342,SELL,3515.17,0.221,2.06414000,776.85257,0.38842628,USDT,19-07-2024 19:38:37,LONG,False,False,FUM
ETHUSDT,4220668246,8389765703590385837,SELL,3514.80,0.221,0,776.77080,0.38838540,USDT,19-07-2024 19:38:38,SHORT,False,False,FUM
ETHUSDT,4220698982,8389765703592735591,BUY,3518.37,0.006,-0.02142000,21.11022,0.01055511,USDT,19-07-2024 19:45:25,SHORT,True,False,FUM
ETHUSDT,4220698983,8389765703592735591,BUY,3518.42,0.057,-0.20634000,200.54994,0.10027497,USDT,19-07-2024 19:45:25,SHORT,True,False,FUM
ETHUSDT,4220698984,8389765703592735591,BUY,3518.47,0.006,-0.02202000,21.11082,0.01055541,USDT,19-07-2024 19:45:25,SHORT,True,False,FUM
ETHUSDT,4220698985,8389765703592735591,BUY,3518.55,0.152,-0.57000000,534.81960,0.26740979,USDT,19-07-2024 19:45:25,SHORT,True,False,FUM
