symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker,Market
LTCUSDT,961369964,32084686138,SELL,66.74,0.735,0,49.05390,0.00981078,USDT,06-10-2024 06:11:24,SHORT,False,True,FUM
LTCUSDT,961405184,32091263151,BUY,67.42,0.735,-0.49980000,49.55370,0.02477685,USDT,06-10-2024 10:24:57,SHORT,True,False,FUM
LTCUSDT,961669759,32095924711,BUY,65.48,0.757,0,49.56836,0.00991367,USDT,07-10-2024 18:16:35,LONG,True,True,FUM
LTCUSDT,961678565,32101985922,SELL,64.78,0.757,-0.52990000,49.03846,0.02451923,USDT,07-10-2024 18:49:23,LONG,False,False,FUM
LTCUSDT,962211570,32103019551,BUY,63.66,0.781,0,49.71846,0.00994369,USDT,10-10-2024 17:55:27,LONG,True,True,FUM
LTCUSDT,962226810,32124214680,SELL,63.88,0.195,0.04290000,12.45660,0.00622830,USDT,10-10-2024 18:39:22,LONG,False,False,FUM
LTCUSDT,962229370,32124332769,SELL,64.05,0.146,0.05694000,9.35130,0.00467565,USDT,10-10-2024 18:59:23,LONG,False,False,FUM
LTCUSDT,962244883,32124913711,SELL,63.83,0.440,0.07480000,28.08520,0.01404260,USDT,10-10-2024 21:39:03,LONG,False,False,FUM
LTCUSDT,962257841,32125594410,SELL,64.27,0.781,0,50.19487,0.02509743,USDT,11-10-2024 00:04:24,SHORT,False,False,FUM
LTCUSDT,962261570,32125727278,SELL,64.45,0.781,0,50.33545,0.02516772,USDT,11-10-2024 00:34:30,SHORT,False,False,FUM
LTCUSDT,962267530,32125975827,SELL,64.46,1.562,0,100.68652,0.05034326,USDT,11-10-2024 01:37:48,SHORT,False,False,FUM
LTCUSDT,962274497,32126277252,SELL,64.74,0.781,0,50.56194,0.02528097,USDT,11-10-2024 02:49:02,SHORT,False,False,FUM
LTCUSDT,962275561,32125594414,BUY,64.90,0.781,-0.33114400,50.68690,0.02534345,USDT,11-10-2024 03:00:34,SHORT,True,False,FUM
LTCUSDT,962275562,32125727282,BUY,64.90,0.781,-0.33114400,50.68690,0.02534345,USDT,11-10-2024 03:00:34,SHORT,True,False,FUM
