symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker,Market
NEARUSDT,741633563,25962093140,SELL,5.3700,18,0,96.6600,0.01933199,USDT,24-09-2024 21:14:17,SHORT,False,True,FUM
NEARUSDT,741658867,25971272478,BUY,5.3150,18,0.99000000,95.6700,0.04783500,USDT,24-09-2024 22:23:44,SHORT,True,False,FUM
NEARUSDT,742259638,25979757591,BUY,5.1120,19,0,97.1280,0.01942560,USDT,25-09-2024 23:42:54,LONG,True,True,FUM
NEARUSDT,742274069,25984076165,SELL,5.1580,19,0.87400000,98.0020,0.04900100,USDT,26-09-2024 00:17:07,LONG,False,False,FUM
NEARUSDT,742470769,25979790123,SELL,5.5210,17,0,93.8570,0.01877140,USDT,26-09-2024 06:26:25,SHORT,False,True,FUM
NEARUSDT,742482726,25987544485,BUY,5.5860,17,-1.10500000,94.9620,0.04748100,USDT,26-09-2024 06:30:41,SHORT,True,False,FUM
NEARUSDT,742490698,25987753084,SELL,5.5620,6,0,33.3720,0.01668600,USDT,26-09-2024 06:34:38,SHORT,False,False,FUM
NEARUSDT,742490699,25987753084,SELL,5.5620,6,0,33.3720,0.01668600,USDT,26-09-2024 06:34:38,SHORT,False,False,FUM
NEARUSDT,742522704,25988111093,BUY,5.5000,3,0.18600000,16.5000,0.00330000,USDT,26-09-2024 06:56:23,SHORT,True,True,FUM
NEARUSDT,742553522,25988533518,BUY,5.4220,9,1.26000000,48.7980,0.02439900,USDT,26-09-2024 07:22:38,SHORT,True,False,FUM
NEARUSDT,746228618,26048764813,BUY,5.1470,9,0,46.3230,0.00926460,USDT,01-10-2024 14:32:30,LONG,True,True,FUM
NEARUSDT,746238883,26059666062,SELL,5.0970,9,-0.45000000,45.8730,0.02293650,USDT,01-10-2024 14:36:07,LONG,False,False,FUM
NEARUSDT,746290980,26059844114,BUY,4.9590,20,0,99.1800,0.01983600,USDT,01-10-2024 15:03:52,LONG,True,True,FUM
NEARUSDT,746302752,26060464534,SELL,4.9000,20,-1.18000000,98,0.04900000,USDT,01-10-2024 15:06:13,LONG,False,False,FUM
NEARUSDT,746414058,26060980369,BUY,4.9230,20,0,98.4600,0.01969200,USDT,01-10-2024 16:27:55,LONG,True,True,FUM
NEARUSDT,746421764,26062269209,SELL,4.9590,10,0.36000000,49.5900,0.02479500,USDT,01-10-2024 16:36:26,LONG,False,False,FUM
NEARUSDT,746424205,26062240950,SELL,4.9200,4,-0.01200000,19.6800,0.00984000,USDT,01-10-2024 16:39:46,LONG,False,False,FUM
NEARUSDT,746424206,26062240950,SELL,4.9200,6,-0.01800000,29.5200,0.01476000,USDT,01-10-2024 16:39:46,LONG,False,False,FUM
NEARUSDT,748558037,26109746583,BUY,4.6870,21,0,98.4270,0.01968539,USDT,05-10-2024 15:11:59,LONG,True,True,FUM
NEARUSDT,748565518,26115863776,SELL,4.7290,10,0.42000000,47.2900,0.02364500,USDT,05-10-2024 15:54:24,LONG,False,False,FUM
NEARUSDT,748566993,26115855428,SELL,4.7090,11,0.24200000,51.7990,0.02589950,USDT,05-10-2024 16:05:09,LONG,False,False,FUM
NEARUSDT,748943587,26109747116,SELL,4.9570,20,0,99.1400,0.01982799,USDT,06-10-2024 23:44:26,SHORT,False,True,FUM
NEARUSDT,748968182,26126782428,BUY,4.9870,20,-0.60000000,99.7400,0.04987000,USDT,07-10-2024 00:38:41,SHORT,True,False,FUM
NEARUSDT,748968846,26126827301,SELL,4.9770,10,0,49.7700,0.02488500,USDT,07-10-2024 00:39:32,SHORT,False,False,FUM
NEARUSDT,748975400,26126827311,BUY,5.0070,10,-0.30000000,50.0700,0.02503500,USDT,07-10-2024 00:49:31,SHORT,True,False,FUM
NEARUSDT,748978688,26127081504,SELL,5.0150,10,0,50.1500,0.02507500,USDT,07-10-2024 00:56:40,SHORT,False,False,FUM
NEARUSDT,748985262,26127081517,BUY,5.0650,10,-0.50000000,50.6500,0.02532500,USDT,07-10-2024 01:05:29,SHORT,True,False,FUM
NEARUSDT,748986233,26127231851,SELL,5.0590,6,0,30.3540,0.01517700,USDT,07-10-2024 01:07:31,SHORT,False,False,FUM
NEARUSDT,748993758,26127231856,BUY,5.0960,6,-0.22200000,30.5760,0.01528800,USDT,07-10-2024 01:19:49,SHORT,True,False,FUM
NEARUSDT,749010269,26109748410,SELL,5.2120,19,0,99.0280,0.01980560,USDT,07-10-2024 01:36:19,SHORT,False,True,FUM
NEARUSDT,749026350,26127690374,BUY,5.2690,19,-1.08300000,100.1110,0.05005550,USDT,07-10-2024 01:48:18,SHORT,True,False,FUM
NEARUSDT,749029201,26127951833,SELL,5.2670,19,0,100.0730,0.05003650,USDT,07-10-2024 01:50:20,SHORT,False,False,FUM
NEARUSDT,749091093,26129272662,BUY,5.2200,3,0.14100000,15.6600,0.00783000,USDT,07-10-2024 04:13:14,SHORT,True,False,FUM
NEARUSDT,749091094,26129272662,BUY,5.2200,16,0.75200000,83.5200,0.04176000,USDT,07-10-2024 04:13:14,SHORT,True,False,FUM
NEARUSDT,749662433,26138709669,BUY,4.9810,2,0,9.9620,0.00199240,USDT,08-10-2024 06:05:56,LONG,True,True,FUM
NEARUSDT,749662434,26138709669,BUY,4.9810,2,0,9.9620,0.00199240,USDT,08-10-2024 06:05:57,LONG,True,True,FUM
NEARUSDT,749662435,26138709669,BUY,4.9810,16,0,79.6960,0.01593920,USDT,08-10-2024 06:05:57,LONG,True,True,FUM
NEARUSDT,749675459,26143201593,SELL,5.0320,20,1.02000000,100.6400,0.05032000,USDT,08-10-2024 06:45:15,LONG,False,False,FUM
NEARUSDT,750190141,26150478919,BUY,4.7480,10,0,47.4800,0.00949599,USDT,09-10-2024 13:08:07,LONG,True,True,FUM
NEARUSDT,750253975,26157545012,SELL,4.7960,10,0.48000000,47.9600,0.02398000,USDT,09-10-2024 15:24:36,LONG,False,False,FUM
NEARUSDT,750772135,26173418035,SELL,4.5630,10,0,45.6300,0.02281500,USDT,10-10-2024 22:54:08,SHORT,False,False,FUM
NEARUSDT,750787361,26173418037,BUY,4.6070,1,-0.04400000,4.6070,0.00230350,USDT,11-10-2024 00:13:20,SHORT,False,True,FUM
NEARUSDT,750787362,26173418037,BUY,4.6070,3,-0.13200000,13.8210,0.00691050,USDT,11-10-2024 00:13:20,SHORT,False,True,FUM
NEARUSDT,750787363,26173418037,BUY,4.6070,6,-0.26400000,27.6420,0.01382100,USDT,11-10-2024 00:13:20,SHORT,False,True,FUM
NEARUSDT,750788200,26173846633,SELL,4.6000,6,0,27.6000,0.01380000,USDT,11-10-2024 00:15:58,SHORT,False,False,FUM
NEARUSDT,750802713,26174299225,BUY,4.5620,1,0.03800000,4.5620,0.00228100,USDT,11-10-2024 01:27:59,SHORT,False,True,FUM
NEARUSDT,750807202,26174412108,BUY,4.5970,5,0.01500000,22.9850,0.01149250,USDT,11-10-2024 01:52:51,SHORT,False,True,FUM
