symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker,Market
THETAUSDT,422300501,13980148944,SELL,1.3236,11.7,0,15.48612,0.00309722,USDT,06-10-2024 16:00:04,SHORT,False,True,FUM
THETAUSDT,422300502,13980148944,SELL,1.3236,26.1,0,34.54596,0.00690919,USDT,06-10-2024 16:00:04,SHORT,False,True,FUM
THETAUSDT,422302488,13985819319,BUY,1.3380,37.8,-0.54432000,50.57640,0.02528820,USDT,06-10-2024 16:03:16,SHORT,True,False,FUM
THETAUSDT,422410182,13988095304,BUY,1.3308,38.4,0,51.10272,0.01022054,USDT,07-10-2024 09:19:18,LONG,True,True,FUM
THETAUSDT,422425798,13989136003,SELL,1.3171,19.7,-0.26989000,25.94687,0.01297343,USDT,07-10-2024 11:06:11,LONG,False,False,FUM
THETAUSDT,422425799,13989136003,SELL,1.3171,18.7,-0.25619000,24.62977,0.01231488,USDT,07-10-2024 11:06:11,LONG,False,False,FUM
THETAUSDT,422515029,13988099476,BUY,1.3021,8,0,10.41680,0.00208335,USDT,07-10-2024 23:03:47,LONG,True,True,FUM
THETAUSDT,422515037,13988099476,BUY,1.3021,30.7,0,39.97447,0.00799489,USDT,07-10-2024 23:03:49,LONG,True,True,FUM
THETAUSDT,422517743,13992735520,SELL,1.3155,24.2,0.32428000,31.83510,0.01591755,USDT,07-10-2024 23:11:46,LONG,False,False,FUM
THETAUSDT,422517744,13992735520,SELL,1.3154,14.5,0.19285000,19.07330,0.00953665,USDT,07-10-2024 23:11:46,LONG,False,False,FUM
THETAUSDT,422763287,13992980850,BUY,1.2456,40.6,0,50.57136,0.01011427,USDT,09-10-2024 13:36:43,LONG,True,True,FUM
THETAUSDT,422764998,14000724851,SELL,1.2582,5.1,0.06426000,6.41682,0.00320841,USDT,09-10-2024 13:38:45,LONG,False,False,FUM
THETAUSDT,422764999,14000724851,SELL,1.2582,35.5,0.44730000,44.66610,0.02233305,USDT,09-10-2024 13:38:45,LONG,False,False,FUM
THETAUSDT,423004410,14008375478,SELL,1.1992,41.6,0,49.88672,0.02494336,USDT,11-10-2024 00:00:07,SHORT,False,False,FUM
THETAUSDT,423014073,14008630531,BUY,1.1954,4.1,0.01558000,4.90114,0.00245057,USDT,11-10-2024 01:28:30,SHORT,True,False,FUM
THETAUSDT,423016784,14008702302,BUY,1.2065,37.5,-0.27375000,45.24375,0.02262187,USDT,11-10-2024 01:55:04,SHORT,True,False,FUM
THETAUSDT,423018904,14008774123,SELL,1.2034,41.6,0,50.06144,0.02503072,USDT,11-10-2024 02:08:34,SHORT,False,False,FUM
THETAUSDT,423022933,14008903865,SELL,1.2098,13.7,0,16.57426,0.00828713,USDT,11-10-2024 02:57:10,SHORT,False,False,FUM
