symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker,Market
TRXUSDT,466855250,12529000719,BUY,0.15508,322,0,49.93576,0.00998715,USDT,05-10-2024 04:04:18,LONG,True,True,FUM
TRXUSDT,466868944,12529574887,SELL,0.15463,317,-0.14265000,49.01771,0.02450885,USDT,05-10-2024 06:22:34,LONG,False,False,FUM
TRXUSDT,466868945,12529574887,SELL,0.15462,5,-0.00230000,0.77310,0.00038655,USDT,05-10-2024 06:22:34,LONG,False,False,FUM
TRXUSDT,467106858,12537770806,SELL,0.15485,322,0,49.86170,0.00997234,USDT,07-10-2024 08:42:44,SHORT,False,True,FUM
TRXUSDT,467149673,12538869473,BUY,0.15643,322,-0.50876000,50.37046,0.02518523,USDT,07-10-2024 14:24:28,SHORT,True,False,FUM
TRXUSDT,467173623,12541182221,SELL,0.15644,314,0,49.12216,0.02456108,USDT,07-10-2024 18:05:45,SHORT,False,False,FUM
TRXUSDT,467207595,12542410688,BUY,0.15613,314,0.09734000,49.02482,0.02451241,USDT,07-10-2024 23:24:07,SHORT,True,False,FUM
TRXUSDT,467299221,12542459074,SELL,0.15712,316,0,49.64992,0.00992998,USDT,08-10-2024 14:00:28,SHORT,True,False,FUM
TRXUSDT,467323660,12546074396,SELL,0.15791,316,0,49.89956,0.02494978,USDT,08-10-2024 16:19:56,SHORT,False,False,FUM
TRXUSDT,467328427,12546066062,BUY,0.15820,316,-0.21646000,49.99120,0.02499560,USDT,08-10-2024 16:44:42,SHORT,False,True,FUM
TRXUSDT,467328971,12546195872,SELL,0.15815,316,0,49.97540,0.02498770,USDT,08-10-2024 16:46:53,SHORT,False,False,FUM
TRXUSDT,467341596,12546074401,BUY,0.15868,316,-0.26781000,50.14288,0.02507144,USDT,08-10-2024 18:03:43,SHORT,False,True,FUM
TRXUSDT,467341597,12546195874,BUY,0.15868,316,-0.26781000,50.14288,0.02507144,USDT,08-10-2024 18:03:43,SHORT,False,True,FUM
TRXUSDT,467360818,12546861787,SELL,0.15921,602,0,95.84442,0.01916888,USDT,08-10-2024 19:28:09,SHORT,True,False,FUM
TRXUSDT,467379165,12547193754,SELL,0.16051,312,0,50.07912,0.01001582,USDT,08-10-2024 20:45:56,SHORT,True,False,FUM
TRXUSDT,467492947,12548640522,BUY,0.16061,312,-0.29834573,50.11032,0.02505516,USDT,09-10-2024 13:41:37,SHORT,False,True,FUM
TRXUSDT,467494203,12548639946,BUY,0.16074,602,-0.65391426,96.76548,0.04838274,USDT,09-10-2024 13:47:01,SHORT,False,True,FUM
TRXUSDT,469334181,12621626719,SELL,0.16054,188,0,30.18152,0.01509076,USDT,23-10-2024 03:08:39,SHORT,False,False,FUM
TRXUSDT,469409322,12624719279,BUY,0.15968,94,0.08084000,15.00992,0.00750496,USDT,23-10-2024 17:04:51,SHORT,True,False,FUM
TRXUSDT,469409691,12624731969,BUY,0.15979,94,0.07050000,15.02026,0.00751013,USDT,23-10-2024 17:07:49,SHORT,True,False,FUM
TRXUSDT,471055245,12677395932,BUY,0.16441,309,0,50.80269,0.01016053,USDT,03-11-2024 02:34:31,LONG,True,True,FUM
TRXUSDT,471113905,12678778362,SELL,0.16343,309,-0.30282000,50.49987,0.02524993,USDT,03-11-2024 13:36:38,LONG,False,False,FUM
TRXUSDT,531905591,13865095157,BUY,0.23852,157,0,37.44764,0.00748952,USDT,27-01-2025 06:33:35,LONG,True,True,FUM
TRXUSDT,531906815,13866002869,SELL,0.23838,157,-0.02198000,37.42566,0.01871283,USDT,27-01-2025 06:35:43,LONG,False,False,FUM
TRXUSDT,545025313,14186587207,BUY,0.22824,133,0,30.35592,0.00607118,USDT,25-02-2025 09:31:13,LONG,True,True,FUM
TRXUSDT,545347047,14221568845,SELL,0.22524,133,-0.39900000,29.95692,0.01497846,USDT,25-02-2025 19:16:11,LONG,False,False,FUM
