Unnamed: 0,symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch
,BCHUSDT,181079073.0,3778755156.0,-1.0,340.0,0.058,19.72,2.809e-05,BNB,06-07-2024 17:09:13,True,False,True
,BCHUSDT,181141416.0,3780641395.0,-1.0,320.2,0.035,11.207,1.672e-05,BNB,07-07-2024 20:25:18,False,False,True
,BCHUSDT,181295036.0,3786367363.0,-1.0,340.5,0.029,9.8745,1.411e-05,BNB,10-07-2024 04:42:26,True,False,True
,BCHUSDT,181675439.0,3794859959.0,-1.0,368.6,0.036,13.2696,1.859e-05,BNB,14-07-2024 15:54:56,False,False,True
,BCHUSDT,201972496.0,4223410927.0,-1.0,560.9,0.01,5.609,6.09e-06,BNB,09-12-2024 21:40:02,True,False,True
,BCHUSDT,202235321.0,4228314396.0,-1.0,529.5,0.011,5.8245,6.3e-06,BNB,10-12-2024 14:49:38,True,False,True
,BCHUSDT,202529940.0,4235829374.0,3416343645.0,557.0,0.021,11.697,1.219e-05,BNB,12-12-2024 03:52:58,False,False,True
,BCHUSDT,203501426.0,4230276172.0,-1.0,398.5,0.015,5.9775,7.13e-06,BNB,20-12-2024 11:32:14,True,True,True
,BCHUSDT,204514617.0,4311329733.0,4096672703.0,477.9,0.012,5.7348,6.03e-06,BNB,04-01-2025 18:27:52,False,True,True
,BCHUSDT,208012254.0,4373961190.0,-1.0,351.5,0.017,5.9755,7.39e-06,BNB,02-02-2025 22:40:22,True,True,True
,BCHUSDT,208852535.0,4403874393.0,-1.0,334.7,0.014,4.6858,6.03e-06,BNB,04-02-2025 17:27:22,True,False,True
,BCHUSDT,209656422.0,4424771330.0,-1.0,337.7,0.015,5.0655,5.52e-06,BNB,12-02-2025 19:24:06,False,False,True
,BCHUSDT,219859588.0,4608539203.0,8585695243.0,349.0,0.016,5.584,6.99e-06,BNB,24-04-2025 11:15:44,False,True,True
