symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch
BNBUSDT,484800161,3434234419,-1,570.0,0.035,19.95,2.625e-05,BNB,12-12-2021 19:27:07,True,True,True
BNBUSDT,497959468,3528082590,-1,471.1,0.044,20.7284,3.297e-05,BNB,07-01-2022 00:23:16,False,False,True
BNBUSDT,517912486,3694277495,-1,426.5,0.023,9.8095,1.725e-05,BNB,16-02-2022 17:30:18,True,False,True
BNBUSDT,517912925,3694282366,-1,425.7,0.034,14.4738,2.547e-05,BNB,16-02-2022 17:32:06,False,False,True
BNBUSDT,709987618,5036322740,-1,351.4,0.145,50.953,0.00010875,BNB,17-02-2024 14:32:15,True,True,True
BNBUSDT,710028951,5037170712,98263493,352.2,0.07,24.654,5.265e-05,BNB,17-02-2024 16:58:27,False,True,True
BNBUSDT,710032520,5037169795,98263443,353.6,0.07,24.752,5.255e-05,BNB,17-02-2024 17:16:25,False,True,True
BNBUSDT,714760219,5057082859,-1,394.8,0.063,24.8724,4.725e-05,BNB,29-02-2024 22:37:06,True,True,True
BNBUSDT,716807490,5069407398,99281133,402.2,0.002,0.8044,1.49e-06,BNB,05-03-2024 17:08:10,False,False,True
BNBUSDT,716807491,5069407398,99281133,402.2,0.028,11.2616,2.097e-05,BNB,05-03-2024 17:08:10,False,False,True
BNBUSDT,716807492,5069407398,99281133,402.2,0.028,11.2616,2.097e-05,BNB,05-03-2024 17:08:10,False,False,True
BNBUSDT,729271013,5133720674,-1,513.2,0.06,30.792,4.5e-05,BNB,19-03-2024 07:17:20,True,True,True
BNBUSDT,730946621,5156064796,-1,552.0,0.037,20.424,2.778e-05,BNB,21-03-2024 01:59:05,False,True,True
BNBUSDT,730947766,5156079817,-1,553.2,0.018,9.9576,1.348e-05,BNB,21-03-2024 02:03:52,False,False,True
BNBUSDT,732234317,5166166513,-1,552.4,0.018,9.9432,1.35e-05,BNB,23-03-2024 03:08:32,True,False,True
BNBUSDT,743106677,5210967496,-1,551.4,0.021,11.5794,1.575e-05,BNB,13-04-2024 19:56:02,True,True,True
BNBUSDT,743145170,5210967668,-1,541.8,0.022,11.9196,1.65e-05,BNB,13-04-2024 20:02:06,True,True,True
BNBUSDT,751220859,5294626639,-1,573.8,0.052,29.8376,3.9e-05,BNB,03-05-2024 13:03:34,True,False,True
BNBUSDT,756714987,5339233674,-1,615.5,0.056,34.468,4.197e-05,BNB,23-05-2024 01:45:09,False,False,True
BNBUSDT,756715115,5339235478,-1,615.5,0.055,33.8525,4.125e-05,BNB,23-05-2024 01:46:19,True,False,True
BNBUSDT,767103984,5435675830,-1,585.4,0.021,12.2934,1.573e-05,BNB,21-06-2024 21:23:02,False,False,True
BNBUSDT,771755562,5469677078,-1,525.5,0.038,19.969,2.85e-05,BNB,06-07-2024 17:02:31,True,False,True
BNBUSDT,776250642,5514112137,-1,570.5,0.019,10.8395,1.425e-05,BNB,18-07-2024 05:15:17,True,False,True
BNBUSDT,782080712,5603389172,-1,504.1,0.011,5.5451,8.25e-06,BNB,04-08-2024 19:00:20,True,False,True
BNBUSDT,782080713,5603389172,-1,504.1,0.048,24.1968,3.6e-05,BNB,04-08-2024 19:00:20,True,False,True
BNBUSDT,838537327,6114417396,-1,625.56,0.03,18.7668,2.251e-05,BNB,11-11-2024 15:54:50,False,False,True
BNBUSDT,875666144,6406075620,-1,737.04,0.013,9.58152,9.73e-06,BNB,03-12-2024 23:16:42,False,False,True
BNBUSDT,887015746,6499096732,-1,689.31,0.008,5.51448,6e-06,BNB,09-12-2024 21:42:07,True,False,True
BNBUSDT,891121305,6537254466,3417597537,716.45,0.008,5.7316,5.98e-06,BNB,12-12-2024 04:47:38,False,False,True
BNBUSDT,942095083,6487237905,-1,565.08,0.01,5.6508,7.5e-06,BNB,03-02-2025 01:49:18,True,True,True
BNBUSDT,951240217,7115130685,-1,630.7,0.009,5.6763,6.74e-06,BNB,08-02-2025 20:48:31,False,False,True
BNBUSDT,1043546090,7925787119,8585773009,592.0,0.01,5.92,7.49e-06,BNB,30-04-2025 13:59:23,False,False,True
BNBUSDT,1060849482,8105251031,9755564690,669.0,0.01,6.69,7.5e-06,BNB,21-05-2025 16:35:49,False,True,True
BNBUSDT,1324206845,10254043961,-1,824.74,0.007,5.77318,5.25e-06,BNB,21-11-2025 18:32:30,True,False,True
