Unnamed: 0,symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch
,LINKUSDT,344592784.0,5703696060.0,-1.0,14.11,0.36,5.0796,6.21e-06,BNB,17-11-2024 03:47:21,True,True,True
,LINKUSDT,354568373.0,5829183129.0,-1.0,23.89,0.36,8.6004,8.42e-06,BNB,04-12-2024 01:31:13,False,False,True
,LINKUSDT,359979779.0,5884415303.0,-1.0,22.75,0.26,5.915,6.44e-06,BNB,09-12-2024 21:39:36,True,False,True
,LINKUSDT,362442638.0,5910148916.0,3417687335.0,27.7,0.26,7.202,7.52e-06,BNB,12-12-2024 04:43:44,False,False,True
,LINKUSDT,370375817.0,6019582808.0,-1.0,24.06,0.24,5.7744,6.27e-06,BNB,23-12-2024 20:37:33,True,False,True
,LINKUSDT,373006803.0,6087348935.0,-1.0,23.66,0.21,4.9686,0.00021,LINK,04-01-2025 19:16:00,True,False,True
,LINKUSDT,373007064.0,6087355952.0,-1.0,23.62,0.27,6.3774,0.0063774,USDT,04-01-2025 19:16:53,False,False,True
,LINKUSDT,373007065.0,6087355952.0,-1.0,23.62,0.05,1.181,1.23e-06,BNB,04-01-2025 19:16:53,False,False,True
,LINKUSDT,386475203.0,6242175366.0,-1.0,17.36,0.34,5.9024,8.13e-06,BNB,03-02-2025 01:55:17,True,True,True
,LINKUSDT,398561182.0,6427119843.0,-1.0,11.9,0.43,5.117,7.56e-06,BNB,11-03-2025 00:51:47,True,True,True
,LINKUSDT,403405839.0,6590619885.0,-1.0,10.94,0.54,5.9076,8.07e-06,BNB,07-04-2025 03:36:42,True,True,True
,LINKUSDT,407453389.0,6687674452.0,8585185223.0,14.13,0.65,9.1845,1.152e-05,BNB,30-04-2025 13:14:33,False,False,True
,LINKUSDT,411501587.0,6778666395.0,9758560379.0,15.96,0.33,5.2668,5.92e-06,BNB,21-05-2025 17:20:15,False,False,True
,LINKUSDT,411933176.0,6782527793.0,9829838595.0,16.2,0.33,5.346,5.97e-06,BNB,23-05-2025 12:00:27,False,False,True
,LINKUSDT,460733477.0,7394273646.0,-1.0,9.86,0.6,5.916,5.63e-06,BNB,31-01-2026 17:08:54,True,True,True
