symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch
LTCUSDT,206030833,2415057306,-1,184.6,1.0,184.6,0.001,LTC,18-10-2021 21:03:49,True,False,True
LTCUSDT,222383954,2566684795,-1,158.7,0.999,158.5413,0.1585413,USDT,04-12-2021 16:33:49,False,False,True
LTCUSDT,222918566,2573271591,-1,157.7,1.0,157.7,0.001,LTC,06-12-2021 21:46:26,True,True,True
LTCUSDT,222944271,2573452700,-1,162.5,0.999,162.3375,0.1623375,USDT,06-12-2021 23:21:04,False,True,True
LTCUSDT,223129844,2575737074,-1,159.9,1.006,160.8594,0.001006,LTC,07-12-2021 23:08:58,True,False,True
LTCUSDT,223191377,2575741544,-1,170.0,0.18,30.6,0.0306,USDT,08-12-2021 08:11:23,False,True,True
LTCUSDT,223375491,2578791349,-1,159.0,0.194,30.846,3.858e-05,BNB,09-12-2021 03:47:34,True,True,True
LTCUSDT,223941604,2587740807,-1,159.4,0.119,18.9686,2.499e-05,BNB,12-12-2021 23:34:20,True,True,True
LTCUSDT,224087105,2580819777,-1,143.8,0.778,111.8764,0.00016223,BNB,13-12-2021 19:33:27,False,False,True
LTCUSDT,224087106,2580819777,-1,143.8,0.039,5.6082,8.13e-06,BNB,13-12-2021 19:33:27,False,False,True
LTCUSDT,225573880,2588095366,-1,163.8,0.119,19.4922,2.685e-05,BNB,23-12-2021 18:02:06,False,True,True
LTCUSDT,227348643,2635705165,-1,135.9,0.153,20.7927,3.306e-05,BNB,07-01-2022 00:24:40,True,False,True
LTCUSDT,231371173,2701929707,-1,121.6,0.099,12.0384,2.188e-05,BNB,05-02-2022 21:05:03,True,False,True
LTCUSDT,231380727,2702153804,-1,122.6,0.159,19.4934,3.518e-05,BNB,06-02-2022 00:54:06,False,False,True
LTCUSDT,231380867,2702156720,-1,122.7,0.098,12.0246,2.165e-05,BNB,06-02-2022 00:57:36,True,False,True
LTCUSDT,231387279,2702156722,-1,122.4,0.124,15.1776,2.727e-05,BNB,06-02-2022 03:55:35,True,True,True
LTCUSDT,231388636,2702156723,-1,121.4,0.124,15.0536,2.733e-05,BNB,06-02-2022 04:16:37,True,True,True
LTCUSDT,231391829,2702326261,-1,122.4,0.124,15.1776,2.736e-05,BNB,06-02-2022 05:44:17,False,True,True
LTCUSDT,231397374,2702300912,-1,123.5,0.124,15.314,2.756e-05,BNB,06-02-2022 07:48:47,False,True,True
LTCUSDT,231441198,2702510299,-1,122.4,0.124,15.1776,2.759e-05,BNB,06-02-2022 14:42:49,True,True,True
LTCUSDT,231443381,2702402007,-1,121.4,0.124,15.0536,2.745e-05,BNB,06-02-2022 14:49:09,True,True,True
LTCUSDT,231450080,2703121889,-1,122.4,0.124,15.1776,2.781e-05,BNB,06-02-2022 15:29:56,False,True,True
LTCUSDT,231454326,2703099505,-1,123.5,0.124,15.314,2.787e-05,BNB,06-02-2022 16:33:41,False,True,True
LTCUSDT,231468915,2703574675,-1,124.0,0.12,14.88,2.71e-05,BNB,06-02-2022 21:05:49,True,True,True
LTCUSDT,232858639,2704162802,58845722,120.0,0.513,61.56,0.00011238,BNB,17-02-2022 18:11:14,False,True,True
LTCUSDT,233863279,2743775461,-1,108.0,1.0,108.0,0.00021637,BNB,26-02-2022 18:07:13,True,True,True
LTCUSDT,238657286,2815603871,65158901,100.1,0.15,15.015,2.901e-05,BNB,26-04-2022 15:59:00,False,False,True
LTCUSDT,238657287,2815603871,65158901,100.1,0.12,12.012,2.321e-05,BNB,26-04-2022 15:59:00,False,False,True
LTCUSDT,238657288,2815603871,65158901,100.1,0.203,20.3203,3.926e-05,BNB,26-04-2022 15:59:00,False,False,True
LTCUSDT,238657289,2815603871,65158901,100.1,0.012,1.2012,2.31e-06,BNB,26-04-2022 15:59:00,False,False,True
LTCUSDT,238657290,2815604480,65158923,100.1,0.338,33.8338,6.537e-05,BNB,26-04-2022 15:59:00,False,False,True
LTCUSDT,238657291,2815604480,65158923,100.1,0.177,17.7177,3.423e-05,BNB,26-04-2022 15:59:00,False,False,True
LTCUSDT,238659297,2816687305,-1,101.1,0.995,100.5945,0.00019297,BNB,26-04-2022 16:10:08,True,False,True
LTCUSDT,238675473,2816915668,-1,98.9,0.995,98.4055,0.00019244,BNB,26-04-2022 20:29:28,False,False,True
LTCUSDT,320358800,3947342364,-1,67.9,0.242,16.4318,4.029e-05,BNB,29-01-2024 04:43:24,False,True,True
LTCUSDT,320358801,3947342364,-1,67.9,0.084,5.7036,1.398e-05,BNB,29-01-2024 04:43:45,False,True,True
LTCUSDT,345530466,4302432499,-1,65.56,0.305,19.9958,2.856e-05,BNB,06-07-2024 17:08:18,True,False,True
LTCUSDT,345614651,4304863366,-1,63.04,0.16,10.0864,0.0100864,USDT,07-07-2024 20:06:47,False,False,True
LTCUSDT,345866104,4311412946,-1,66.13,0.151,9.98563,1.428e-05,BNB,10-07-2024 04:42:18,True,False,True
LTCUSDT,346271184,4319410516,-1,69.46,0.235,16.3231,2.283e-05,BNB,14-07-2024 15:59:47,False,False,True
LTCUSDT,348544600,4368376256,-1,62.66,0.12,7.5192,1.119e-05,BNB,04-08-2024 19:02:21,True,False,True
LTCUSDT,348544601,4368376256,-1,62.66,0.199,12.46934,1.856e-05,BNB,04-08-2024 19:02:21,True,False,True
LTCUSDT,348717816,4370914074,-1,55.88,0.293,16.37284,0.01637284,USDT,05-08-2024 03:48:59,False,False,True
LTCUSDT,364483137,4600902766,-1,66.14,0.151,9.98714,1.328e-05,BNB,05-11-2024 21:24:54,True,False,True
LTCUSDT,365927602,4621919508,-1,78.39,0.025,1.95975,2.35e-06,BNB,11-11-2024 15:48:40,False,False,True
LTCUSDT,365927603,4621919508,-1,78.39,0.126,9.87714,0.00987714,USDT,11-11-2024 15:48:40,False,False,True
LTCUSDT,369356136,4669195360,-1,90.29,0.218,19.68322,2.419e-05,BNB,17-11-2024 03:17:55,True,False,True
LTCUSDT,376680265,4807696483,-1,128.87,0.218,28.09366,2.752e-05,BNB,04-12-2024 01:31:26,False,False,True
LTCUSDT,379157814,4855067738,-1,118.24,0.05,5.912,6.3e-06,BNB,09-12-2024 20:25:55,True,True,True
LTCUSDT,379230798,4855074293,-1,107.47,0.055,5.91085,6.57e-06,BNB,09-12-2024 21:03:44,True,True,True
LTCUSDT,379331263,4863802544,-1,110.8,0.09,9.972,1.089e-05,BNB,09-12-2024 21:56:04,True,False,True
LTCUSDT,380320161,4884199472,3408442800,116.5,0.097,11.3005,1.184e-05,BNB,12-12-2024 00:51:39,False,False,True
LTCUSDT,380935378,4900004026,3482664409,124.0,0.048,5.952,6.12e-06,BNB,14-12-2024 00:32:18,False,True,True
LTCUSDT,382875566,4867776140,-1,94.87,0.063,5.97681,6.94e-06,BNB,19-12-2024 20:10:57,True,True,True
LTCUSDT,384505905,4998808238,3857371270,101.0,0.052,5.252,5.69e-06,BNB,27-12-2024 15:19:27,False,True,True
LTCUSDT,385612849,5035164641,4096331243,111.05,0.099,10.99395,1.156e-05,BNB,04-01-2025 18:02:02,False,True,True
LTCUSDT,400454365,5187051484,-1,85.03,0.07,5.9521,8.54e-06,BNB,03-02-2025 02:07:24,True,True,True
LTCUSDT,443307025,5720426692,-1,74.82,0.08,5.9856,8.02e-06,BNB,06-04-2025 18:15:43,True,True,True
LTCUSDT,443724256,5720429107,-1,64.97,0.092,5.97724,8.4e-06,BNB,07-04-2025 06:34:33,True,True,True
LTCUSDT,448398533,5836991378,8536398001,82.01,0.12,9.8412,1.219e-05,BNB,24-04-2025 03:52:03,False,True,True
LTCUSDT,459520138,5978565460,9756316563,98.2,0.06,5.892,6.59e-06,BNB,21-05-2025 16:44:45,False,True,True
LTCUSDT,462989322,5985173190,9828669574,92.2,0.06,5.532,6.16e-06,BNB,30-05-2025 00:53:16,False,True,True
LTCUSDT,537503565,6845158538,-1,82.05,0.072,5.9076,5.42e-06,BNB,21-11-2025 18:21:09,True,False,True
