symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch
POLUSDT,5898696,107589739,-1,0.4251,11.9,5.05869,6.20E-06,BNB,17-11-2024 03:45:00,True,True,True
POLUSDT,11203000,202058519,-1,0.7087,11.9,8.43353,8.27E-06,BNB,04-12-2024 01:32:00,False,False,True
POLUSDT,12783792,233551967,-1,0.5893,10.1,5.95193,6.50E-06,BNB,09-12-2024 21:41:00,True,False,True
POLUSDT,13389848,247466874,3416164677,0.647,10,6.47,6.77E-06,BNB,12-12-2024 04:53:00,False,False,True
POLUSDT,14368751,248086344,-1,0.4727,12.6,5.95602,6.81E-06,BNB,19-12-2024 18:15:00,True,True,True
POLUSDT,15143723,309235352,3850077934,0.4742,10.9,5.16878,5.64E-06,BNB,26-12-2024 23:07:00,False,True,True
POLUSDT,15749247,333956981,-1,0.5229,7.2,3.76488,0.0072,POL,04-01-2025 19:35:00,True,False,True
POLUSDT,15749248,333956981,-1,0.5229,2.3,1.20267,1.26E-06,BNB,04-01-2025 19:35:00,True,False,True
POLUSDT,15749253,333957402,-1,0.5227,11.1,5.80197,0.00580197,USDT,04-01-2025 19:35:00,False,False,True
POLUSDT,16304117,309636980,-1,0.4238,14.1,5.97558,6.68E-06,BNB,13-01-2025 09:33:00,True,True,True
POLUSDT,18091209,404774352,-1,0.3648,16.4,5.98272,6.95E-06,BNB,02-02-2025 11:47:00,True,True,True
POLUSDT,18792406,443364781,-1,0.3031,16.6,5.03146,6.45E-06,BNB,07-02-2025 04:35:00,True,False,True
POLUSDT,19124916,457218167,-1,0.3161,22,6.9542,7.64E-06,BNB,12-02-2025 19:13:00,False,False,True
POLUSDT,21889269,486825560,-1,0.1867,27.8,5.19026,6.57E-06,BNB,02-04-2025 22:11:00,True,True,True
POLUSDT,24988431,660293596,9830152946,0.245,5,1.225,1.35E-06,BNB,23-05-2025 11:49:00,False,False,True
POLUSDT,24988432,660293596,9830152946,0.245,21,5.145,5.71E-06,BNB,23-05-2025 11:49:00,False,False,True
POLUSDT,27511419,728543603,-1,0.2346,27,6.3342,6.57E-06,BNB,17-07-2025 15:38:00,False,False,True
POLUSDT,390316320,3671181482,-1,0.972,10.2,9.9144,1.34E-05,BNB,23-03-2024 03:01:00,True,True,True
POLUSDT,391810723,3695010050,-1,0.9576,10.4,9.95904,1.30E-05,BNB,01-04-2024 05:50:00,True,True,True
POLUSDT,392809460,3715899562,-1,0.8921,16.8,14.98728,1.95E-05,BNB,08-04-2024 03:10:00,True,True,True
POLUSDT,393101963,3715899952,-1,0.882,18.1,15.9642,2.09E-05,BNB,10-04-2024 01:45:00,True,True,True
POLUSDT,393429559,3726974634,-1,0.8633,35.9,30.99247,3.78E-05,BNB,12-04-2024 13:05:00,True,True,True
POLUSDT,393558099,3671666848,-1,0.767,26,19.942,2.56E-05,BNB,12-04-2024 18:32:00,True,True,True
POLUSDT,395272361,3759319116,-1,0.668,57.7,38.5436,5.26E-05,BNB,18-04-2024 17:52:00,False,False,True
POLUSDT,395272362,3759319116,-1,0.668,59.7,39.8796,5.44E-05,BNB,18-04-2024 17:52:00,False,False,True
POLUSDT,397123041,3800783088,-1,0.761,26.2,19.9382,2.49E-05,BNB,06-05-2024 08:20:00,True,False,True
POLUSDT,397220599,3807637010,-1,0.7157,27.7,19.82489,2.52E-05,BNB,06-05-2024 19:12:00,True,True,True
POLUSDT,398339738,3832135206,-1,0.7547,28,21.1316,2.62E-05,BNB,21-05-2024 00:53:00,True,False,True
POLUSDT,401679919,3903704955,-1,0.5754,1.3,0.74802,9.50E-07,BNB,21-06-2024 20:57:00,False,False,True
POLUSDT,401679920,3903704955,-1,0.5754,68.4,39.35736,5.03E-05,BNB,21-06-2024 20:57:00,False,False,True
POLUSDT,402901794,3933420250,-1,0.4987,40.1,19.99787,2.85E-05,BNB,06-07-2024 17:04:00,True,False,True
POLUSDT,402982147,3936281934,-1,0.4922,21,10.3362,1.55E-05,BNB,07-07-2024 19:42:00,False,False,True
POLUSDT,403218203,3943861117,-1,0.5127,19.5,9.99765,1.43E-05,BNB,10-07-2024 04:41:00,True,False,True
POLUSDT,403547595,3952357682,-1,0.5226,35.5,18.5523,2.60E-05,BNB,14-07-2024 15:57:00,False,False,True
