symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch
TRXUSDT,198073111,1837926366,-1,0.07409,148.5,11.002365,2.821e-05,BNB,13-05-2022 18:31:25,True,False,True
TRXUSDT,265657898,2392407670,-1,0.11325,143.9,16.296675,3.993e-05,BNB,29-01-2024 04:54:09,False,True,True
TRXUSDT,283334744,2494405650,-1,0.11806,315.5,37.24793,0.3155,TRX,21-06-2024 18:23:01,True,False,True
TRXUSDT,283345764,2494461270,-1,0.11826,185.2,21.901752,2.804e-05,BNB,21-06-2024 21:20:17,False,False,True
TRXUSDT,285793899,2508212397,-1,0.13046,76.6,9.993236,1.429e-05,BNB,10-07-2024 04:42:03,True,False,True
TRXUSDT,286489430,2513677210,-1,0.13761,38.2,5.256702,7.35e-06,BNB,14-07-2024 15:59:33,False,False,True
TRXUSDT,286489431,2513677210,-1,0.13761,131.2,18.054432,2.525e-05,BNB,14-07-2024 15:59:33,False,False,True
TRXUSDT,303601281,2705022634,-1,0.1947,26.1,5.08167,6.2e-06,BNB,17-11-2024 03:47:43,True,True,True
TRXUSDT,313685638,2770970503,-1,0.3744,26.0,9.7344,9.54e-06,BNB,04-12-2024 01:30:41,False,False,True
TRXUSDT,320840846,2830422246,-1,0.2687,22.3,5.99201,6.51e-06,BNB,09-12-2024 21:40:32,True,False,True
TRXUSDT,322798363,2846078957,3416297302,0.2891,22.0,6.3602,6.63e-06,BNB,12-12-2024 03:55:40,False,False,True
TRXUSDT,329771129,2846903998,-1,0.2333,25.7,5.99581,7.05e-06,BNB,20-12-2024 10:12:52,True,True,True
TRXUSDT,334362701,2934372381,4096431912,0.27,22.5,6.075,6.39e-06,BNB,04-01-2025 18:08:15,False,False,True
TRXUSDT,342717321,2985364657,-1,0.2075,28.9,5.99675,8.31e-06,BNB,03-02-2025 01:55:57,True,True,True
TRXUSDT,361136195,3161716084,9830897811,0.272,28.7,7.8064,8.59e-06,BNB,23-05-2025 11:25:11,False,False,True
