symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch
LTCUSDT,2112061721,172104,-1,162.5,0.999,162.3375,0.16233750,USDT,06-12-2021 17:21:04,False,True,True
LTCUSDT,2112061708,170858,-1,159.9,1.006,160.8594,0.00100600,LTC,06-12-2021 17:08:58,True,False,True
BTCUSDT,2112071745,174522,-1,50619.06,0.00004,2.0247624,2.02476240,BNB,07-12-2021 17:45:22,True,False,True
BTCUSDT,2112071746,174523,-1,50619.06,0.00393,198.9329058,0.00000393,BTC,07-12-2021 17:45:22,True,False,True
LTCUSDT,2112080211,21123,-1,159,0.18,30.846,0.03060000,USDT,08-12-2021 02:11:23,False,True,True
LTCUSDT,2112082147,214734,-1,170,0.194,30.6,0.00003858,BNB,08-12-2021 21:47:34,True,False,True
ETCUSDT,256944235,4613504988,-1,8.03,0.52,4.1756,0.00000503,BNB,05-02-2026 20:23:03,True,True,True
ETCUSDT,256944236,4613504988,-1,8.03,0.47,3.7741,0.00000455,BNB,05-02-2026 20:23:03,True,True,True
BNBUSDT,1407130894,9626331996,-1,624.09,0.009,5.61681,0.00000675,BNB,05-02-2026 20:25:04,True,True,True
ETHUSDT,3601722051,37447967249,-1,1838.43,0.0043,7.905249,0.00000962,BNB,05-02-2026 20:52:47,True,True,True
THETAUSDT,194656124,3137808711,-1,0.168,47.6,7.9968,0.00001040,BNB,06-02-2026 00:13:33,True,True,True
