UID,Order No.,Time(UTC+8),Pair,Type,Price,Amount,Order Value,Fee,Fee Coin,Order Type
1346097326576558087,2020956755239796739,2026-02-23 09:46:36,BTC/USDT,Buy,65000,0.000025,1.625,-0.000000025,BTC,Autonomous Orders
1346097326576558087,2019506959396274176,2026-02-06 04:22:34,BTC/USDT,Sell,63909.65,0.000094,6.0075071,-0.006007507,USDT,Autonomous Orders
1346097326576558087,2019482954656284672,2026-02-06 04:22:30,BTC/USDT,Buy,64000,0.000095,6.08,-0.000000095,BTC,Autonomous Orders
1346097326576558087,1934683356243329025,2025-06-17 06:44:48,BTC/USDT,Sell,107500,0.000031,3.3325,-0.003332500,USDT,Autonomous Orders
1346097326576558087,1929675307371888640,2025-06-06 10:17:02,BTC/USDT,Buy,102608,0.000031,3.180848,-0.000000031,BTC,Autonomous Orders
1346097326576558087,1910727422114693120,2025-04-12 08:11:32,BTC/USDT,Sell,82363.97,0.000039,3.21219483,-0.003212195,USDT,Autonomous Orders
1346097326576558087,1907816008769241088,2025-04-04 07:22:37,BTC/USDT,Buy,81663.22,0.000039,3.18486558,-0.000000039,BTC,Autonomous Orders
1346097326576558087,1906436275930300417,2025-03-31 16:41:31,BTC/USDT,Sell,81412,0.00004,3.25648,-0.003256480,USDT,Autonomous Orders
1346097326576558087,1906080507632713728,2025-03-30 12:26:21,BTC/USDT,Buy,82641.42,0.00004,3.3056568,-0.000000040,BTC,Autonomous Orders
1346097326576558087,1904073248551632896,2025-03-24 23:30:13,BTC/USDT,Sell,86941.86,0.000038,3.30379068,-0.003303791,USDT,Autonomous Orders
1346097326576558087,1896750657646264320,2025-03-04 18:32:52,BTC/USDT,Buy,83259.44,0.000039,3.24711816,-0.000000039,BTC,Autonomous Orders
1346097326576558087,1853988970472308736,2024-11-06 18:33:14,SOL/USDT,Sell,178.15,0.057,10.15455,-0.010154550,USDT,Autonomous Orders
1346097326576558087,1843756937062023168,2024-10-09 12:54:44,BTC/USDT,Sell,62340.37,0.000048,2.99233776,-0.002992338,USDT,Autonomous Orders
1346097326576558087,1843756120498143232,2024-10-09 12:51:29,BTC/USDT,Buy,62353.48,0.0000481,2.999202388,-0.000000048,BTC,Autonomous Orders
