UID,Order No.,Time(UTC+8),Pair,Type,Leverage,DealPrice,Quantity,Amount,Fee,Fee Coin,Realized PNL,Quote Asset,Order Type,AvgPrice,fundingFee
1346097326576558087,2031754856763699201,2026-03-11 23:31:21,NCFXEUR2USD-USDT,Close Long,20,1.1572,34.6300,40.0731,-0.001202194,USDT,0.1066604,USDT,Autonomous Orders,1.15718,0.0128591
1346097326576558087,2030029015444828161,2026-03-09 07:00:24,NCFXEUR2USD-USDT,Open Long,20,1.1541,34.6300,39.9665,-0.001198994,USDT,0,USDT,Autonomous Orders,1.1541,
1346097326576558087,2019592339643904001,2026-02-06 10:01:51,BTC-USDT,Close Short,30,65887.1000,0.0008,52.7200,-0.02636,USDT,-0.0424,USDT,Autonomous Orders,65900,
1346097326576558087,2019504431301865473,2026-02-06 10:01:10,BTC-USDT,Open Short,30,65847.0000,0.0008,52.6776,-0.01053552,USDT,0,USDT,Autonomous Orders,65847,
1346097326576558087,2019504050417119233,2026-02-06 04:11:01,BTC-USDT,Close Short,30,65454.9000,0.0009,58.9094,-0.029454705,USDT,0.05724,USDT,Autonomous Orders,65454.9,
1346097326576558087,2019503675022716929,2026-02-06 04:09:31,BTC-USDT,Open Short,30,65524.3000,0.0009,58.9667,-0.029483325,USDT,0,USDT,Autonomous Orders,65518.5,
1346097326576558087,1863309359473438720,2024-12-02 11:49:05,BTC-USDT,Close Short,30,97042.4000,0.0019,184.3787,-0.09218933,USDT,0.97603,USDT,Autonomous Orders,97041.4,
1346097326576558087,1863285532722933760,2024-12-02 10:14:24,BTC-USDT,Open Short,30,97555.1000,0.0019,185.3547,-0.092677345,USDT,0,USDT,Autonomous Orders,97555.1,
1346097326576558087,1856812960908963840,2024-11-14 13:34:43,BTC-USDT,Close Short,5,89250.6000,0.0002,17.8500,0,USDT,0.2551,USDT,Coupon Orders,89250,
1346097326576558087,1856791932925243392,2024-11-14 12:11:09,BTC-USDT,Open Short,5,90522.5000,0.0002,18.1051,0,USDT,0,USDT,Coupon Orders,90525.5,
1346097326576558087,1841651740753129472,2024-10-03 17:29:26,BTC-USDT,Close Short,5,61120.0000,0.0004,24.4496,0,USDT,0.61081625,USDT,Coupon Orders,61124,
1346097326576558087,1841308401482723328,2024-10-02 18:45:07,BTC-USDT,Open Short,5,61632.4000,0.0004,24.6536,0,USDT,0,USDT,Coupon Orders,61634,
1346097326576558087,1838682526861963264,2024-09-25 12:50:50,BTC-USDT,Close Short,30,64220.1000,0.0045,288.9990,-0.1444995,USDT,0.1989,USDT,Autonomous Orders,64222,
1346097326576558087,1838677031698771968,2024-09-25 12:29:00,BTC-USDT,Open Short,30,64268.6000,0.0045,289.1979,-0.14459895,USDT,0,USDT,Autonomous Orders,64266.2,
1346097326576558087,1838671620241305600,2024-09-25 12:07:30,BTC-USDT,Close Short,30,64493.3000,0.0005,32.2500,-0.016125,USDT,-0.101,USDT,Autonomous Orders,64500,
1346097326576558087,1838299094449336320,2024-09-25 11:54:24,BTC-USDT,Open Short,30,64298.0000,0.0005,32.1490,-0.0064298,USDT,0,USDT,Autonomous Orders,64298,
1346097326576558087,1838378504737206272,2024-09-24 16:42:46,BTC-USDT,Close Long,30,63017.5000,0.0047,296.3458,-0.148172905,USDT,1.00721,USDT,Autonomous Orders,63052.3,
1346097326576558087,1838298719419838464,2024-09-24 16:41:27,BTC-USDT,Open Long,30,62838.0000,0.0047,295.3386,-0.05906772,USDT,0,USDT,Autonomous Orders,62838,
1346097326576558087,1834787106280648704,2024-09-14 18:51:50,BTC-USDT,Close Long,30,60305.0000,0.0048,289.4904,-0.1447452,USDT,-0.92832,USDT,Autonomous Orders,60310.5,
1346097326576558087,1834747355716595712,2024-09-14 16:13:52,BTC-USDT,Open Long,30,60505.2000,0.0048,290.4187,-0.14520936,USDT,0,USDT,Autonomous Orders,60503.9,
1346097326576558087,1834096351945814016,2024-09-12 21:07:01,BTC-USDT,Close Short,5,58106.3587,0.0001,5.8103,0,USDT,0,USDT,Coupon Orders,58102.6,
1346097326576558087,1833911937022504960,2024-09-12 08:54:13,BTC-USDT,Close Short,30,57180.0000,0.0052,297.3069,-0.14865344,USDT,-1.74668,USDT,Autonomous Orders,57174.4,
1346097326576558087,1833906923013091328,2024-09-12 08:34:18,BTC-USDT,Open Short,30,56839.3000,0.0052,295.5602,-0.1477801,USDT,0,USDT,Autonomous Orders,56838.5,
1346097326576558087,1833733925278707712,2024-09-11 21:06:52,BTC-USDT,Open Short,5,56395.0000,0.0001,5.6391,0,USDT,0,USDT,Coupon Orders,56391,
1346097326576558087,1833330790165065728,2024-09-10 18:24:57,BTC-USDT,Close Short,30,56933.0000,0.0052,294.6091,-0.14730456,USDT,0.43368,USDT,Autonomous Orders,56655.6,
1346097326576558087,1833329197654945792,2024-09-10 18:19:18,BTC-USDT,Open Short,30,56739.0000,0.0052,295.0428,-0.05900856,USDT,0,USDT,Autonomous Orders,56739,
1346097326576558087,1833325251272060928,2024-09-10 18:02:56,BTC-USDT,Close Short,30,56792.0000,0.0015,85.1880,-0.042594,USDT,0.14205,USDT,Autonomous Orders,56792,
1346097326576558087,1833324607295401984,2024-09-10 18:00:47,BTC-USDT,Open Short,30,56886.7000,0.0015,85.3301,-0.01706601,USDT,0,USDT,Autonomous Orders,56886.7,
1346097326576558087,1832943147212288000,2024-09-09 16:44:36,BTC-USDT,Close Long,20,54853.9000,0.0054,296.1900,-0.148095,USDT,-0.66474,USDT,Autonomous Orders,54850,
1346097326576558087,1832940115904901120,2024-09-09 16:32:33,BTC-USDT,Open Long,20,54973.1000,0.0054,296.8547,-0.14842737,USDT,0,USDT,Autonomous Orders,54973.1,
1346097326576558087,1832934546859044864,2024-09-09 16:10:25,BTC-USDT,Close Short,20,54993.8000,0.0036,198.0000,-0.099,USDT,-0.59868,USDT,Autonomous Orders,55000,-0.01915221
1346097326576558087,1832925648798298112,2024-09-09 15:35:04,BTC-USDT,Open Short,20,54833.3000,0.0036,197.4013,-0.09870066,USDT,0,USDT,Autonomous Orders,54833.7,
1346097326576558087,1832906109419204608,2024-09-09 14:17:25,BTC-USDT,Close Short,20,54850.2000,0.0054,296.2834,-0.14814171,USDT,-0.98712,USDT,Autonomous Orders,54867.3,
1346097326576558087,1832905786130640896,2024-09-09 14:16:08,BTC-USDT,Open Short,20,54669.1000,0.0054,295.2963,-0.14764815,USDT,0,USDT,Autonomous Orders,54684.5,
1346097326576558087,1832895294007881728,2024-09-09 13:34:26,BTC-USDT,Close Short,20,54380.9000,0.0036,195.7712,-0.09788562,USDT,0.3024,USDT,Autonomous Orders,54380.9,
1346097326576558087,1832889018641231872,2024-09-09 13:09:30,BTC-USDT,Open Short,20,54464.9000,0.0036,196.0736,-0.09803682,USDT,0,USDT,Autonomous Orders,54464.9,
1346097326576558087,1830832698022899712,2024-09-03 20:58:25,BTC-USDT,Close Long,20,58989.2000,0.0033,194.6323,-0.09731613,USDT,-0.35682,USDT,Autonomous Orders,58979.47273,
1346097326576558087,1830768062229590016,2024-09-03 16:41:35,BTC-USDT,Open Long,20,59087.6000,0.0033,194.9891,-0.09749454,USDT,0,USDT,Autonomous Orders,59087.6,
1346097326576558087,1829802691418779648,2024-09-01 00:45:32,BTC-USDT,Close Long,2,59027.5000,0.0006,35.4151,0,USDT,0.10728,USDT,Coupon Orders,59025.2,
1346097326576558087,1829619871601782784,2024-08-31 12:39:05,BTC-USDT,Open Long,2,58846.6000,0.0006,35.3078,0,USDT,0,USDT,Coupon Orders,58846.4,
1346097326576558087,1829233432980484096,2024-08-30 11:03:31,BTC-USDT,Close Long,1,58957.3830,0.0001,5.8945,0,USDT,-0.00008,USDT,Coupon Orders,58945.1,
1346097326576558087,1829192587094994944,2024-08-30 08:21:12,BTC-USDT,Close Long,20,60665.0000,0.0032,194.0963,-0.09704816,USDT,-0.77376,USDT,Autonomous Orders,60655.1,
1346097326576558087,1829190076166516736,2024-08-30 08:11:14,BTC-USDT,Open Long,20,60899.9000,0.0032,194.8701,-0.09743504,USDT,0,USDT,Autonomous Orders,60896.9,
1346097326576558087,1828870994900676608,2024-08-29 11:03:19,BTC-USDT,Open Long,1,59745.3000,0.0001,5.9752,0,USDT,0,USDT,Coupon Orders,59752.4,
1346097326576558087,1828584613100072960,2024-08-28 16:05:20,BTC-USDT,Close Long,20,59250.5000,0.0033,195.5263,-0.09776316,USDT,-0.43494,USDT,Autonomous Orders,59250.4,-0.00744505
1346097326576558087,1828583239037693952,2024-08-28 15:59:52,BTC-USDT,Open Long,20,59386.0000,0.0033,195.9613,-0.09798063,USDT,0,USDT,Autonomous Orders,59382.2,
